a,b,c,d,e,f,g,h,i,j,k,l,m
N Launcher: Nougat Theme,PERSONALIZATION,4.2,128,7.7M,"10,000+",True,0.0,Everyone,Personalization,2017-06-13,1.0,4.1 and up
Dino in City-Dinosaur N Police,FAMILY,3.7,10035,30M,"1,000,000+",True,0.0,Teen,Simulation,2018-05-23,2.07,4.1 and up
N Launcher Pro - Nougat 7.0,PERSONALIZATION,4.3,2538,6.4M,"100,000+",False,2.99,Everyone,Personalization,2018-03-23,1.5.1,4.1 and up
Cops N Robbers - FPS Mini Game,GAME,4.2,156862,64M,"5,000,000+",True,0.0,Everyone 10+,Action,2018-07-31,7.0.4,4.1 and up
Cops N Robbers 2,GAME,4.1,63680,46M,"1,000,000+",True,0.0,Everyone 10+,Adventure,2018-06-02,2.2.2,4.1 and up
Hands 'n Guns Simulator,FAMILY,3.9,19727,76M,"1,000,000+",True,0.0,Teen,Simulation,2018-07-03,32,4.1 and up
Hide N Seek : Mini Game,GAME,3.8,4719,54M,"500,000+",True,0.0,Everyone,Action,2018-07-08,5.1.3,4.1 and up
N Launcher - Nougat 7.0,PERSONALIZATION,4.4,32597,8.4M,"1,000,000+",True,0.0,Everyone,Personalization,2018-05-24,1.5.2,4.1 and up
Cook'n Recipe App,LIFESTYLE,3.4,552,22M,"10,000+",True,0.0,Everyone,Lifestyle,2018-08-02,3.0.4,4.4 and up
Rope'n'Fly 3 - Dusk Till Dawn,GAME,4.0,166033,23M,"10,000,000+",True,0.0,Everyone 10+,Arcade,2018-01-31,3.6,2.3 and up
Tap N Pay,PRODUCTIVITY,4.4,253,8.2M,"10,000+",True,0.0,Everyone,Productivity,2018-07-31,0.1.22,4.1 and up
N-Com Wizard,COMMUNICATION,3.3,960,3.8M,"50,000+",True,0.0,Everyone,Communication,2017-09-21,2.1.2,2.3.3 and up
Drag'n'Boom,GAME,4.8,133180,54M,"1,000,000+",True,0.0,Everyone 10+,Arcade,2018-01-12,1.1.1,4.4 and up
Traps n' Gemstones,GAME,4.5,413,9.1M,"1,000+",False,4.99,Everyone,Adventure,2017-05-17,1.04,4.0.3 and up
Shop 'n Save,SHOPPING,3.4,620,40M,"100,000+",True,0.0,Everyone,Shopping,2018-03-13,2.2.8,4.1 and up
Dual N-Back - Brain game,FAMILY,4.3,817,28M,"100,000+",True,0.0,Everyone,Educational,2018-05-25,2.4.2,4.1 and up
N Files - File Manager & Explorer,PRODUCTIVITY,4.3,369,11M,"10,000+",True,0.0,Everyone,Productivity,2018-07-18,2.9.5,4.1 and up
Guns'n'Glory Zombies Premium,FAMILY,4.1,313,34M,"5,000+",False,2.99,Everyone 10+,Strategy,2016-07-15,1.1.5,2.3.3 and up
Cops N Robbers,GAME,4.0,37789,58M,"1,000,000+",True,0.0,Teen,Adventure,2018-06-06,1.5.2,4.1 and up
Guns'n'Glory Premium,FAMILY,4.4,3570,21M,"100,000+",False,2.99,Everyone 10+,Strategy,2017-09-22,1.8.1,2.3.3 and up
Madagascar Surf n' Slides Free,FAMILY,3.8,48929,45M,"5,000,000+",True,0.0,Everyone,Educational;Education,2017-09-08,1.5.0,4.0 and up
Guns'n'Glory,FAMILY,4.4,89947,22M,"5,000,000+",True,0.0,Everyone 10+,Strategy,2018-02-09,1.8.2,4.0 and up
Ghosts'n Goblins MOBILE,GAME,3.8,466,28M,"10,000+",False,0.99,Everyone,Arcade,2017-03-28,1.00.02,4.1 and up
Mopar Drag N Brag,GAME,4.2,30630,17M,"1,000,000+",True,0.0,Everyone,Racing,2015-05-25,1.2.5,4.1 and up
Read Unlimitedly! Kids'n Books,FAMILY,3.8,7462,31M,"1,000,000+",True,0.0,Everyone,Education;Music & Video,2018-02-16,3.42,2.3 and up
Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4.8,133,59M,"1,000+",False,2.49,Everyone,Personalization,2018-08-03,15.6,7.0 and up
Fantastic Chefs: Match 'n Cook,FAMILY,4.7,8600,91M,"500,000+",True,0.0,Everyone,Puzzle,2018-07-27,1.0.7,4.0.3 and up
Guns'n'Glory Heroes Premium,FAMILY,4.3,923,Varies with device,"10,000+",False,2.99,Everyone,Strategy,2017-11-09,Varies with device,Varies with device
Eat'n Park,LIFESTYLE,3.5,292,20M,"50,000+",True,0.0,Everyone,Lifestyle,2017-12-18,3.1.3,4.0 and up
Draw N Guess Multiplayer,GAME,3.9,29505,69M,"1,000,000+",True,0.0,Everyone,Word,2018-04-04,3.0.11,4.0.3 and up
Car Parking Crane N Drifting,FAMILY,4.2,106,71M,"50,000+",True,0.0,Everyone,Simulation,2018-02-26,1.8,4.0.3 and up
Lock 'n' Roll Pro - Ad Free,GAME,4.6,169,13M,"1,000+",False,0.99,Everyone,Card,2015-07-01,4.0.5,2.3.3 and up
Rock N' Cash Casino Slots -Free Vegas Slot Games,GAME,4.7,6187,33M,"100,000+",True,0.0,Teen,Casino,2018-07-27,1.15.0,4.0.3 and up
Age of Conquest: N. America,FAMILY,4.5,659,3.3M,"10,000+",False,3.99,Everyone,Strategy,2018-08-04,1.0.28,1.5 and up
Sketch 'n' go,VIDEO_PLAYERS,3.8,3965,6.4M,"100,000+",True,0.0,Everyone,Video Players & Editors,2018-03-26,2.2.9,4.1 and up
Guns'n'Glory WW2 Premium,FAMILY,4.5,4656,20M,"100,000+",False,2.99,Everyone 10+,Strategy,2017-12-08,1.4.11,4.0 and up
Rock n Roll Music Quiz Game,GAME,3.7,80,7.6M,"10,000+",True,0.0,Everyone,Trivia,2018-06-06,5.0,4.1 and up
Cook 'n Learn Smart Kitchen,FAMILY,3.5,205,62M,"50,000+",True,0.0,Everyone,Educational;Education,2017-03-06,1.0.4,4.3 and up
Jump'N'Shoot Attack,GAME,4.1,155,32M,"1,000+",False,2.49,Everyone,Arcade,2018-05-26,1.2,4.1 and up
Ghouls'n Ghosts MOBILE,GAME,3.9,168,49M,"5,000+",False,1.99,Everyone 10+,Arcade,2017-05-18,1.00.00,4.1 and up
N-Back,FAMILY,4.1,413,930k,"10,000+",True,0.0,Everyone,Puzzle,2016-02-15,1.6,2.1 and up
Oddworld: New 'n' Tasty,GAME,4.6,1475,34M,"10,000+",False,4.99,Teen,Action,2018-01-02,1.0.4,5.0 and up
Knights N Squires,FAMILY,4.4,148826,49M,"1,000,000+",True,0.0,Teen,Role Playing,2018-06-19,1.4.9,4.0.3 and up
Opera Mini - fast web browser,COMMUNICATION,4.5,5150801,Varies with device,"100,000,000+",True,0.0,Everyone,Communication,2018-07-19,Varies with device,Varies with device
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473795,Varies with device,"100,000,000+",True,0.0,Everyone,Communication,2018-07-31,47.1.2249.129326,Varies with device
Planet O - Icon Pack,PERSONALIZATION,4.6,354,24M,"10,000+",False,0.99,Everyone,Personalization,2018-06-13,1.6.1,4.1 and up
The Noise-O-Meter,FAMILY,4.0,1699,72M,"100,000+",True,0.0,Everyone,Entertainment;Music & Video,2017-10-18,1.0.1.24,4.3 and up
O Launcher 8.0 for Android™ O Oreo Launcher,TOOLS,4.4,11393,8.7M,"1,000,000+",True,0.0,Everyone,Tools,2018-07-27,3.9,4.4 and up
Opera Mini browser beta,COMMUNICATION,4.4,401530,Varies with device,"10,000,000+",True,0.0,Everyone,Communication,2018-08-03,Varies with device,Varies with device
Stand O’Food® (Full),FAMILY,4.4,925,40M,"10,000+",False,1.99,Everyone,Casual,2014-12-26,1.5,2.3.3 and up
WiFi-o-Matic,PRODUCTIVITY,4.0,736,6.8M,"50,000+",True,0.0,Everyone,Productivity,2018-02-01,1.80.03,4.1 and up
Detect-O-Gromit (D.O.G 2),FAMILY,3.8,45,47M,"10,000+",False,2.49,Everyone,Entertainment,2018-07-16,1.2,5.0 and up
O Shopping,SHOPPING,3.9,671,3.6M,"100,000+",True,0.0,Everyone,Shopping,2018-07-23,1.1.2,4.0.3 and up
Obbligo o Verità? PRO,GAME,nan,4,2.9M,100+,False,0.99,Teen,Board,2018-04-26,"1,01",3.0 and up
AC Remote for O General - NOW FREE,TOOLS,3.7,274,26M,"50,000+",True,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2 and up
O'Route Orienteering,SPORTS,4.2,6,1.3M,100+,False,3.02,Everyone,Sports,2017-12-27,2.0.5,3.0 and up
Drink-O-Tron The Drinking Game,GAME,4.1,140,45M,"50,000+",True,0.0,Mature 17+,Card,2017-05-31,1.64,4.0.3 and up
Multiling O Keyboard + emoji,PRODUCTIVITY,4.3,30443,540k,"1,000,000+",True,0.0,Everyone,Productivity,2018-07-03,0.54.2.4,2.1 and up
Google I/O 2018,BOOKS_AND_REFERENCE,4.3,22401,4.6M,"500,000+",True,0.0,Everyone,Books & Reference,2018-05-07,6.1.2,5.0 and up
Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,313k,"5,000+",False,6.99,Everyone,Personalization,2017-08-20,5.1,5.1 and up
OO Launcher for Android O 8.0 Oreo™ Launcher,PERSONALIZATION,4.4,14832,8.6M,"1,000,000+",True,0.0,Everyone,Personalization,2018-08-03,4.6,4.0 and up
Band O'Clock,LIFESTYLE,3.8,1140,746k,"100,000+",True,0.0,Everyone,Lifestyle,2011-12-03,0.11,2.1 and up
O Launcher,TOOLS,4.3,2059,10M,"100,000+",True,0.0,Everyone,Tools,2018-05-22,1.1.4,5.0 and up
O-Star,DATING,4.4,59,38M,"5,000+",True,0.0,Everyone,Dating,2018-07-19,1.0.1,4.3 and up
Verdad o Reto,SOCIAL,3.8,826,5.1M,"500,000+",True,0.0,Teen,Social,2018-05-10,2.0,4.1 and up
Pixlr-o-matic,PHOTOGRAPHY,4.5,180697,6.1M,"10,000,000+",True,0.0,Everyone,Photography,2017-04-25,2.2.5,2.1 and up
O-Level Past Papers & Solution (up to 2017),FAMILY,3.8,589,28M,"100,000+",True,0.0,Everyone,Education,2018-06-11,8.3.2,4.0.3 and up
"O Multiple - App Cloner, Duals APP, tarallel",TOOLS,3.9,145,5.2M,"50,000+",True,0.0,Everyone,Tools,2018-05-15,1.0.7,4.1 and up
The Maze Runner,GAME,4.0,428268,22M,"10,000,000+",True,0.0,Everyone,Action,2015-09-14,1.8.1,2.3 and up
Psiphon Pro - The Internet Freedom VPN,COMMUNICATION,4.3,298041,Varies with device,"10,000,000+",True,0.0,Everyone,Communication,2018-07-03,Varies with device,Varies with device
PicsArt Photo Studio: Collage Maker & Pic Editor,PHOTOGRAPHY,4.5,7590099,34M,"100,000,000+",True,0.0,Teen,Photography,2018-07-31,9.40.3,4.0.3 and up
P Icon Pack for Pixel,PERSONALIZATION,4.4,38,51M,"1,000+",True,0.0,Everyone,Personalization,2018-05-06,1.0.3,4.1 and up
Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39M,100+,False,1.99,Everyone,Personalization,2018-05-16,1.0.0,6.0 and up
Android P Home KLWP,PERSONALIZATION,nan,0,2.1M,5+,False,1.49,Everyone,Personalization,2018-04-14,v2018.Apr.12.16,5.0 and up
P-Home for KLWP,PERSONALIZATION,5.0,4,12M,100+,False,0.99,Everyone,Personalization,2018-05-15,v2018.May.15.14,5.0 and up
[substratum] Vacuum: P,PERSONALIZATION,4.4,230,11M,"1,000+",False,1.49,Everyone,Personalization,2018-07-20,4.4,NaN
"Super P Launcher for Android P 9.0 launcher, theme",TOOLS,4.4,2026,7.5M,"100,000+",True,0.0,Everyone,Tools,2018-08-03,1.9,4.0 and up
pixiv,SOCIAL,4.2,86956,24M,"1,000,000+",True,0.0,Mature 17+,Social,2018-08-03,5.0.109,4.4 and up
[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4.0,13,19M,100+,False,0.99,Everyone,Personalization,2018-07-20,H7SubTV0.1_TV0.4,7.0 and up
Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,nan,5,1.9M,10+,False,1.49,Everyone,Personalization,2018-07-02,1.2.A.Exceed.Paid,6.0 and up
Theme Android P Design for LG V30,PERSONALIZATION,4.2,35,5.2M,500+,False,1.49,Everyone,Personalization,2018-04-26,1.33,7.0 and up
Pistachio Launcher for Android P 9.0,PERSONALIZATION,nan,0,2.3M,1+,False,1.49,Everyone,Personalization,2018-07-11,1.0.2,4.1 and up
Theme Android P for LG G7 & V35,PERSONALIZATION,4.6,5,4.5M,100+,False,1.49,Everyone,Personalization,2018-07-07,1.1,8.0 and up
Volume Slider Like Android P Volume Control,TOOLS,4.1,1129,1.7M,"10,000+",False,0.99,Everyone,Tools,2018-06-30,1.28,4.1 and up
Pacify (Android P theme) - Theme for Xperia™,PERSONALIZATION,nan,1,1.8M,10+,False,0.99,Everyone,Personalization,2018-07-15,1.0.B+.Exceed.Paid,5.0 and up
P Launcher for Android™ 9.0,PERSONALIZATION,3.9,35,6.3M,"5,000+",True,0.0,Everyone,Personalization,2018-07-01,0.9.3,5.0 and up
PixelLab - Text on pictures,PHOTOGRAPHY,4.6,108002,Varies with device,"10,000,000+",True,0.0,Everyone,Photography,2018-07-26,Varies with device,Varies with device
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,nan,0,5.5M,0+,False,1.49,Everyone,Personalization,2018-07-11,1.1,4.2 and up
Theme Android P Black design for LG V30,PERSONALIZATION,4.4,8,6.2M,100+,False,1.49,Everyone,Personalization,2018-04-06,1.1,7.0 and up
P Launcher Theme For Android™ 9.0,PERSONALIZATION,3.9,213,28M,"10,000+",True,0.0,Everyone,Personalization,2018-05-18,1.4,4.0 and up
Theme Android P Black for LG G7 & V35,PERSONALIZATION,4.6,5,4.3M,100+,False,1.49,Everyone,Personalization,2018-07-31,1.3,7.0 and up
P Theme for Android™ P 9.0 Style Launcher,PERSONALIZATION,4.5,216,5.7M,"50,000+",True,0.0,Everyone,Personalization,2018-04-13,1.4,4.1 and up
Android P 9.0,PERSONALIZATION,3.0,12,4.9M,500+,True,0.0,Everyone,Personalization,2018-05-30,2.0,4.0.3 and up
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,nan,0,3.6M,1+,False,1.49,Everyone,Personalization,2018-07-23,1.2.A.Exceed.Paid,6.0 and up
Android P Wallpapers,PERSONALIZATION,3.6,53,2.0M,"5,000+",True,0.0,Everyone,Personalization,2018-02-12,1,4.0.3 and up
P XPERIA Theme™ | Design For SONY 🎨,PERSONALIZATION,4.4,147,16M,"10,000+",True,0.0,Everyone,Personalization,2018-05-28,1.0.0,4.4 and up
Parallel Space - Multiple accounts & Two face,PERSONALIZATION,4.6,3062845,7.4M,"100,000,000+",True,0.0,Everyone,Personalization,2018-08-03,4.0.8552,4.0.3 and up
Theme for New Android P,PERSONALIZATION,nan,13,4.3M,"1,000+",True,0.0,Everyone,Personalization,2018-05-23,1.1.4,4.0 and up
P9 Launcher - Android™ 9.0 P Launcher Style,TOOLS,4.3,1162,7.3M,"100,000+",True,0.0,Everyone,Tools,2018-07-06,2.5,4.1 and up
Android P Style Icon Pack,PERSONALIZATION,5.0,1,60M,100+,False,0.99,Everyone,Personalization,2018-06-16,1.0,4.1 and up
Android P Stock Wallpapers,PERSONALIZATION,4.5,16,3.7M,"1,000+",True,0.0,Everyone,Personalization,2018-08-01,2.3.0,5.0 and up
G-Pix [Android P] Dark EMUI 8/5 THEME,PERSONALIZATION,4.1,169,24M,"10,000+",True,0.0,Everyone,Personalization,2018-03-25,7,4.4 and up
G-Pix [Android P] EMUI 8/5 THEME,PERSONALIZATION,4.1,720,10M,"100,000+",True,0.0,Everyone,Personalization,2018-03-13,12,4.4 and up
Android-P Mono Grey EMUI 8/5 Theme,PERSONALIZATION,4.5,61,7.5M,"10,000+",True,0.0,Everyone,Personalization,2018-04-04,4,4.4 and up
P XPERIA Theme™ | PURPLE - Design For SONY 🎨,PERSONALIZATION,nan,3,13M,500+,True,0.0,Everyone,Personalization,2018-06-05,1.0.0,4.4 and up
Materialistic P Wallpapers,PERSONALIZATION,4.8,24,3.6M,"1,000+",True,0.0,Everyone,Personalization,2018-08-03,2.244,5.0 and up
Android P Rotation,TOOLS,4.5,502,2.0M,"10,000+",True,0.0,Everyone,Tools,2018-07-15,1.5,5.0 and up
P XPERIA Theme™ | INDIGO - Design For SONY 🎨,PERSONALIZATION,nan,12,14M,"1,000+",True,0.0,Everyone,Personalization,2018-06-05,1.0.0,4.4 and up
Android P Launcher 9.0 launcher,TOOLS,4.0,164,2.3M,"10,000+",True,0.0,Everyone,Tools,2018-04-23,1.0,5.0 and up
Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16M,"5,000+",False,1.49,Everyone,Personalization,2018-06-21,5.1,4.0.3 and up
pretty Easy privacy p≡p,COMMUNICATION,3.7,21,20M,500+,False,0.99,Everyone,Communication,2018-07-30,1.0.100rc1.withoutKeysync,5.0 and up
P Icon Pack,FAMILY,nan,0,21M,10+,False,0.99,Everyone,Entertainment,2018-07-16,1.0.6,4.0.3 and up
Pi Dark [substratum],PERSONALIZATION,4.5,189,2.1M,"10,000+",True,0.0,Everyone,Personalization,2018-03-27,1.1,NaN
"Q Alerts: QAnon Drop Notifications, Research +++",NEWS_AND_MAGAZINES,4.7,143,26M,"5,000+",False,0.99,Mature 17+,News & Magazines,2018-07-26,4.1.10,4.1 and up
The Q - Live Trivia Game Network,GAME,2.7,1486,14M,"100,000+",True,0.0,Everyone,Trivia,2018-08-03,2.4.8,5.0 and up
Fossil Q,LIFESTYLE,2.9,6627,18M,"500,000+",True,0.0,Everyone,Lifestyle,2018-08-01,2.5.1,4.4 and up
Q,FAMILY,4.2,69126,60M,"1,000,000+",True,0.0,Everyone,Puzzle,2018-04-19,2.9.4,4.0 and up
"Official QR Code® Reader ""Q""",PRODUCTIVITY,4.4,3031,Varies with device,"500,000+",True,0.0,Everyone,Productivity,2018-03-23,Varies with device,Varies with device
Q Cat Live Wallpaper,PERSONALIZATION,4.2,4383,7.1M,"500,000+",True,0.0,Teen,Personalization,2015-03-16,2.7,2.3.3 and up
Q MINDshare Mobile,BUSINESS,3.4,24,Varies with device,"10,000+",True,0.0,Everyone,Business,2018-04-02,Varies with device,Varies with device
Fossil Q Legacy,LIFESTYLE,2.6,680,60M,"50,000+",True,0.0,Everyone,Lifestyle,2017-09-19,1.0.1,4.4 and up
Offroad Car Q,FAMILY,4.1,24668,40M,"1,000,000+",True,0.0,Everyone,Simulation,2016-08-04,1.0.2,2.3.3 and up
Q*bert: Rebooted,GAME,4.3,13788,55M,"1,000,000+",True,0.0,Everyone,Arcade,2017-04-01,1.1,4.4 and up
Quora,SOCIAL,4.5,313403,Varies with device,"10,000,000+",True,0.0,Teen,Social,2018-07-25,Varies with device,Varies with device
Gun Shoot War Q,GAME,4.2,26893,20M,"1,000,000+",True,0.0,Teen,Arcade,2017-03-01,1.0.5,2.3 and up
FaceQ,FAMILY,4.4,591411,19M,"10,000,000+",True,0.0,Teen,Entertainment,2017-05-16,3.4.1,3.0 and up
Q Actions - Digital Assistant,PRODUCTIVITY,nan,0,Varies with device,500+,True,0.0,Everyone,Productivity,2018-07-20,Varies with device,Varies with device
Q Link Wireless Zone,PRODUCTIVITY,4.0,2194,17M,"500,000+",True,0.0,Everyone,Productivity,2018-03-08,2.0.4,4.4 and up
Q Avatar (Avatar Maker),COMICS,4.4,2012,3.6M,"100,000+",True,0.0,Everyone,Comics,2017-03-04,1.3.5,2.3 and up
Q downloader : download your social media videos,FAMILY,4.1,41,4.5M,"1,000+",True,0.0,Everyone,Entertainment,2018-06-21,1.1.2.1,4.0.3 and up
Q Avatar Pro,FAMILY,4.8,4,3.6M,100+,False,1.49,Teen,Entertainment,2017-03-04,1.3.5,2.3 and up
Q-See Plus,VIDEO_PLAYERS,2.2,32,33M,"5,000+",True,0.0,Everyone,Video Players & Editors,2018-07-09,3.1.0,4.0.3 and up
Q Wunder,FAMILY,3.8,156,43M,"10,000+",True,0.0,Everyone,Education;Education,2018-06-30,2.0.13,4.1 and up
Q-See QC View,TOOLS,3.1,657,21M,"100,000+",True,0.0,Everyone,Tools,2018-01-19,3.49.0202,4.0.3 and up
Leica Q,PHOTOGRAPHY,3.1,133,2.3M,"10,000+",True,0.0,Everyone,Photography,2018-05-08,1.0.2.1,4.0 and up
Q Remote Control,TOOLS,3.8,4264,14M,"500,000+",True,0.0,Everyone,Tools,2014-07-12,2.6.1,2.3 and up
Q-Ticketing,MAPS_AND_NAVIGATION,3.8,114,19M,"10,000+",True,0.0,Everyone,Maps & Navigation,2017-12-18,1.8.3111,4.3 and up
DJMAX TECHNIKA Q - Music Game,GAME,4.3,21107,95M,"100,000+",True,0.0,Everyone,Music,2018-07-30,1.2.1,4.0.3 and up
myQ,TOOLS,3.6,3642,29M,"100,000+",True,0.0,Everyone,Tools,2018-07-23,3.2.0,4.0.3 and up
QR Code Reader,TOOLS,4.0,495971,2.7M,"50,000,000+",True,0.0,Everyone,Tools,2016-03-16,2.3,2.3.3 and up
ICQ — Video Calls & Chat Messenger,COMMUNICATION,4.4,697939,Varies with device,"10,000,000+",True,0.0,Everyone,Communication,2018-07-18,7.3(823181),4.4 and up
Q Operator,BUSINESS,4.6,60,Varies with device,"1,000+",True,0.0,Everyone,Business,2016-11-08,1.10.4,4.3 and up
Q Call,TOOLS,nan,20,16M,"1,000+",True,0.0,Everyone,Tools,2018-07-16,2.100,4.0 and up
Q-slope,TOOLS,4.5,2,3.9M,50+,False,1.76,Everyone,Tools,2017-12-03,5.0,4.3 and up
Q-Tech Companion App,FOOD_AND_DRINK,1.8,17,3.1M,"10,000+",True,0.0,Everyone,Food & Drink,2017-03-08,1.6.3,4.4 and up
Q Mobile Banking,FINANCE,4.7,460,12M,"10,000+",True,0.0,Everyone,Finance,2018-06-26,5.9.1.0,5.0 and up
Q Quiz SK,FAMILY,3.9,159,39M,"5,000+",True,0.0,Everyone,Education,2015-12-08,2.3,2.3 and up
Big Q Car Service,MAPS_AND_NAVIGATION,4.4,75,26M,"5,000+",True,0.0,Everyone,Maps & Navigation,2017-05-15,3.002,4.0.3 and up
Q-See QT View,TOOLS,3.6,7357,19M,"100,000+",True,0.0,Everyone,Tools,2018-07-12,4.4.1,5.0 and up
ROBLOX,FAMILY,4.5,4443407,67M,"100,000,000+",True,0.0,Everyone 10+,Adventure;Action & Adventure,2018-07-31,2.347.225742,4.1 and up
"DataCamp - Learn R, Python & SQL",FAMILY,4.4,944,12M,"100,000+",True,0.0,Everyone,Education,2018-08-01,3.1.0,4.1 and up
R Language Reference Guide,BOOKS_AND_REFERENCE,3.9,54,2.8M,"10,000+",True,0.0,Everyone,Books & Reference,2017-12-24,1.11,4.0 and up
Run R Script - Online Statistical Data Analysis,FAMILY,3.9,8,6.2M,"1,000+",True,0.0,Everyone,Education,2018-04-04,1.1 Build 226,2.2 and up
R Programming Language,FAMILY,3.8,39,2.9M,"1,000+",True,0.0,Everyone,Education,2017-12-21,1.0,4.2 and up
R Programming,FAMILY,nan,2,5.9M,"1,000+",True,0.0,Everyone,Education,2017-11-21,1.0,4.0.3 and up
R. Physics Puzzle Game,FAMILY,4.2,5369,60M,"500,000+",True,0.0,Everyone,Puzzle,2018-04-19,1.0.16,4.3 and up
R Instructor,FAMILY,4.1,135,4.9M,"1,000+",False,4.84,Everyone,Education,2014-02-21,2.03,3.0 and up
GT-R R35 Drift Simulator,FAMILY,4.4,1852,62M,"100,000+",True,0.0,Everyone,Simulation,2017-10-31,1.0,2.3 and up
Offroad Pickup Truck R,FAMILY,4.4,6367,96M,"1,000,000+",True,0.0,Everyone,Simulation,2017-07-14,1.4,2.3 and up
Learn R Programming Full,BOOKS_AND_REFERENCE,nan,11,9.2M,"5,000+",True,0.0,Everyone,Books & Reference,2018-01-30,1.5,5.0 and up
R Programming Tutorial,FAMILY,nan,5,2.8M,"1,000+",True,0.0,Everyone,Education,2017-05-14,1.0,4.0.3 and up
R Programing Offline Tutorial,BOOKS_AND_REFERENCE,5.0,4,3.9M,"1,000+",True,0.0,Everyone,Books & Reference,2018-03-15,1.0.0,4.1 and up
Learn R Language Easy Way,FAMILY,4.1,17,2.2M,"10,000+",True,0.0,Everyone,Education,2017-09-24,1.22,4.0.3 and up
.R,TOOLS,4.5,259,203k,"10,000+",True,0.0,Everyone,Tools,2014-09-16,1.1.06,1.5 and up
R-TYPE II,GAME,4.3,5682,37M,"50,000+",False,1.99,Everyone,Arcade,2017-03-02,1.1.5,2.3.3 and up
Guide for R Programming,BOOKS_AND_REFERENCE,nan,0,3.7M,5+,True,0.0,Everyone,Books & Reference,2018-05-25,1.0.0,4.1 and up
R Programming Solution,FAMILY,3.9,169,7.7M,"10,000+",True,0.0,Everyone,Education,2016-06-20,1.0.3,4.0 and up
Learn R - Programming Concepts,FAMILY,3.5,6,2.9M,"1,000+",True,0.0,Everyone,Education,2017-04-25,1.0.1,4.0.3 and up
Learn R Programming,BOOKS_AND_REFERENCE,nan,0,29M,10+,True,0.0,Everyone,Books & Reference,2018-04-28,1.0,4.1 and up
Car Parking Nissan GT-R R35 Simulator,FAMILY,3.2,513,34M,"100,000+",True,0.0,Everyone,Simulation,2017-12-05,1.0,4.0 and up
R Quick Reference Big Data,BOOKS_AND_REFERENCE,nan,6,3.6M,"1,000+",True,0.0,Everyone,Books & Reference,2017-05-29,1.2,2.3 and up
Learn R Programming Free EBook,FAMILY,nan,1,5.7M,50+,True,0.0,Everyone,Education,2018-03-23,1.0.0,4.0 and up
RMEduS - 음성인식을 활용한 R 프로그래밍 실습 시스템,FAMILY,nan,4,64M,1+,True,0.0,Everyone,Education,2018-07-17,1.0.1,4.4 and up
R Programming Language (Paperset 2) MCQ Quiz,FAMILY,nan,0,3.4M,10+,True,0.0,Everyone,Education,2018-03-19,1.0,4.0.3 and up
R-net for Android,PRODUCTIVITY,3.3,48,58k,"5,000+",True,0.0,Everyone,Productivity,2013-08-07,1.0,3.1 and up
R File Manager,TOOLS,4.8,17,6.7M,50+,True,0.0,Everyone,Tools,2018-05-05,v2,4.4 and up
R-TYPE,GAME,4.5,7687,23M,"100,000+",False,1.99,Everyone,Arcade,2017-02-27,2.3.1,2.3.3 and up
R Studio,SHOPPING,3.7,23,8.9M,"5,000+",True,0.0,Everyone,Shopping,2016-07-08,2.1.1,4.0.3 and up
Day R Premium,FAMILY,4.8,51068,57M,"100,000+",False,4.99,Teen,Role Playing,2018-06-21,1.574,4.0.3 and up
"Join R, Community Engagement",SOCIAL,4.7,144,12M,"1,000+",True,0.0,Teen,Social,2017-01-31,1.0.12,4.0.3 and up
R Bank,FINANCE,4.3,90,13M,"5,000+",True,0.0,Everyone,Finance,2018-05-30,5.9.1.0,5.0 and up
Elemental Knights R Platinum,FAMILY,3.8,2925,93M,"50,000+",False,4.77,Teen,Role Playing,2018-08-01,6.2.1,4.1 and up
Wonder5 Masters R,FAMILY,4.1,1655,83M,"100,000+",True,0.0,Everyone,Role Playing,2018-08-02,1.1.52,4.3 and up
Neon-R (Red),PERSONALIZATION,4.7,25,41M,100+,False,0.99,Everyone,Personalization,2015-03-12,1.0,4.0.3 and up
Mat|r viewer,PRODUCTIVITY,nan,5,28M,100+,True,0.0,Everyone,Productivity,2018-07-27,1.0.5,5.0 and up
R. Lee Ermey's Official Sound,FAMILY,4.2,1696,2.7M,"100,000+",True,0.0,Mature 17+,Entertainment,2012-09-19,1.4,2.1 and up
Tutorials for R Programming Offline,FAMILY,nan,2,4.4M,500+,True,0.0,Everyone,Education,2017-12-04,1.0,4.0 and up
R Programming Language (Paperset 1) MCQ Quiz,FAMILY,nan,1,3.4M,10+,True,0.0,Everyone,Education,2018-03-19,1.0,4.0.3 and up
SHAREit - Transfer & Share,TOOLS,4.6,7775146,17M,"500,000,000+",True,0.0,Everyone,Tools,2018-07-30,4.5.28_ww,4.1 and up
